Utterance	Reversed tokens	Correct classification	RNC_1 classification	RNC_2 classification	RNC_3 classification	RNC_4 classification	RNC_5 classification	RNC_6 classification	RNC_7 classification	Majority vote
'a unica carne q esta cortando oferecida nos jantaresfile mignon'"	'a unica carne q esta cortando nos	"no	"no	"no	"no	"no	"no	"no	"no	"no
'fora temer  abaixo redeglobodecorrupcao '"	temer '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'tem que congelar salario dos politicos pois  sao nefastos  para nacao'"	'tem que salario dos politicos pois sao para	"no	"no	"no	"no	"no	"no	"no	"no	"no
'paulo voce burro'"	'paulo voce burro'	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'vao bate panelasseus burrosbem feito'"	'vao bate	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'se fosse os petralhas estariam criando mais bolsas ate virarmos uma venezuela '"	'se fosse os petralhas mais ate uma venezuela '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'e quando vao pegar nosso dinheiro de volta com os sanguessugas'"	'e quando vao pegar nosso dinheiro de volta com os	"no	"no	"no	"no	"no	"no	"no	"no	"no
'impopular tu ja mordomo cortar na propria carne nao bem isso mesmo porque nao tua carne'"	tu ja cortar na propria carne nao bem isso mesmo porque nao tua carne'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'cortando propria picanha no churrasco de domingo deve ter faltado churrasqueiro'"	propria no de deve ter	"no	"no	"no	"no	"no	"no	"no	"no	"no
'sr presidente brasil esta ao seu lado que venham as reformas chega de mimimi vamos trabalhar'"	'sr presidente brasil esta ao seu lado que venham as reformas chega de mimimi vamos trabalhar'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'primeiro aumento para os amiguinhos depois ferro no povo'"	aumento para os depois no povo'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'mas porque ao inves de tirar mais da populacao mais pobre tambem nao crie os impostos sobre grandes fortunas exonere os cargos partariados de comissao corte os salarios regalias dos deputados senadores dos secretarios do presidente da republica diminua salarios autos dos magistrados ai sim eu comeco acreditar mais neste governo no brasil melhor'"	'mas porque ao inves de tirar mais da populacao mais pobre tambem nao crie os impostos sobre grandes fortunas os cargos de comissao corte os salarios regalias dos deputados senadores dos do presidente da republica salarios autos dos magistrados ai sim eu comeco acreditar mais neste governo no brasil melhor'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'mais voce viu que ja esta sendo cobrado os impostos de pessoas que aplicam seus dinheiro em outros paises quanto  corta salario aumenta imposto isso ai nao resolveria problema sim agravaria cada vez mais agora corta gasto desnecessario isso sim valido'"	'mais voce viu que ja esta sendo os impostos de que seus dinheiro em outros paises quanto corta salario imposto isso ai nao problema sim cada vez mais agora corta gasto isso sim	"no	"no	"no	"no	"no	"no	"no	"no	"no
'o governo nao tem nem pode ter carne carne que estao cortando do povo via deservicos publicos '"	'o governo nao tem nem pode ter carne carne que estao cortando do povo publicos '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'corta propria carne teve churrasco no planalto nem nos chamaram esta unica carne que eles cortam na mamata deles com certeza nada'"	'corta propria carne teve no nem nos esta unica carne que eles na mamata deles com nada'	"no	"no	"no	"no	"no	"no	"no	"no	"no
' so falta acabar com farra dos cartoes corporativos'"	' so falta acabar com farra dos cartoes	"no	"no	"no	"no	"no	"no	"no	"no	"no
'gerar impopularidade com quem com os eleitores ou com os parlamentares '"	com quem com os ou com os parlamentares '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'todos os paises que sairam dessa crise economica sairam com alto investimento em educacao tecnologia ja no brasil receita contrario resultado ja sabemos volta da republica da banana classe media voltando para pobreza pobreza voltando semiescravidao'"	'todos os paises que dessa crise com alto em educacao ja no brasil contrario ja sabemos volta da republica da banana classe para	"no	"no	"no	"no	"no	"no	"no	"no	"no
'na carne de quem carapalida'"	'na carne de quem	"no	"no	"no	"no	"no	"no	"no	"no	"no
'nao vai ter golpe dilmae  povo bonito trabalhador vai te colocar la novamente'"	'nao vai ter golpe povo trabalhador vai te colocar la	"no	"no	"no	"no	"no	"no	"no	"no	"no
'e as palestras do analfabeto  quantas foram proferidas apos lava jato'"	'e as do foram lava	"no	"no	"no	"no	"no	"no	"no	"no	"no
'heranca do governo anterior'"	do governo	"no	"no	"no	"no	"no	"no	"no	"no	"no
'vai te lascar miquinho amestrado'"	'vai te	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'ja ouviu algum dia falar em antenas nao essas aquelas de longo alcance nao ne rsrs'"	'ja algum dia falar em nao essas de nao ne	"no	"no	"no	"no	"no	"no	"no	"no	"no
'quem tem famoso transglobe da philcoso vai servir pra ouvir radio do paraguai'"	'quem tem da vai pra ouvir radio do	"no	"no	"no	"no	"no	"no	"no	"no	"no
'e as familias dos soldados dos civis mortos pelas bombas dos terroristas so recebem xingamentos esse pais so defende da premios bandidos'"	'e as familias dos dos mortos pelas dos so esse pais so defende da bandidos'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'o problema os caras tirarem dinheiro da previdencia dos trabalhadores da iniciativa privada para pagar beneficios para servidor publico civilmilitar'"	'o problema os caras dinheiro da previdencia dos trabalhadores da iniciativa privada para pagar beneficios para publico	"no	"no	"no	"no	"no	"no	"no	"no	"no
'temos que ir pras ruas mostrar que nao aceitaremos '"	que pras ruas que nao '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'a pec do mal comeca esta semana fim de nosso pais '"	'a pec do mal comeca esta semana fim de nosso pais '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'usando calculo diferencial integral se voce tem  anos de contribuicao comecou aos  anos hoje tem  anos pela reforma vai cair no pedagio de  ate  faltam  anos talvez voce trabalhe mais uns  anosse tivesse menos de  anos cairia na reforma completa'"	se voce tem anos de aos anos hoje tem anos pela reforma vai no de ate anos voce mais uns tivesse menos de anos na reforma	"no	"no	"no	"no	"no	"no	"no	"no	"no
'demente total '"	total '	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'temos que acabar com esses rotulos de esquerda ou direita tem politicos corruptos em todos os partidos vemos com clareza que alguns partidos defendem interesses da elite outros do povao outra pmdb psdb nao sao partidos sao quadrilhas organizadas'"	que acabar com esses de esquerda ou direita tem politicos corruptos em todos os partidos com que alguns partidos interesses da outros do outra psdb nao sao partidos sao	"no	"no	"no	"no	"no	"no	"no	"no	"no
'quer vida facilva rodar bolsinha na avatlantica ou na vieira souto joao'"	vida na ou na	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'nao entendi colocacao podre  onde  pais  nao no pais'"	'nao entendi podre onde pais nao no pais'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'eu que nao entendi seu edsonda para explicar duvida melhor'"	'eu que nao entendi seu para melhor'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'resultado de  anos de patria educadora educando ladroes corruptos'"	de anos de ladroes corruptos'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'nao tem aquela frase  so nascendo de novo  para brasil so colonizando de novo'"	'nao tem aquela so de novo para brasil so de novo'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'corrupcao mais corrupcao em todas as areas no brasil sabe que acontece com corruptos nada'"	mais corrupcao em todas as areas no brasil sabe que com corruptos nada'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'derrotada nas urnas gostaria de saber mais'"	nas urnas de saber mais'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'exercicio de logica elementar se psdb que ganhou maioria das cidades foi grande vencedor das eleicoes supostamenteb perdeu para os votos nulos imagina os vermelhos _laugh_ foram varridos em sp entaoprimeiro turno um passeio'"	de logica se psdb que ganhou maioria das cidades foi grande das eleicoes perdeu para os votos imagina os laugh foram varridos em um	"no	"no	"no	"no	"no	"no	"no	"no	"no
'nilsa amaral eu sei do  temer tem morte mais prolongada  anos '"	eu sei do temer tem morte mais anos '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'antes tao ameacadores esses  cleptorrupto agora verdadeiras corsas veadinhos mansinhos so com mimimi'"	tao esses agora so com	"no	"no	"no	"no	"no	"no	"no	"no	"no
'alvaro isso   nossa arma voto  problema que povo na _laugh_ maioria nao tem instrucao nao estudou historia do brasil'"	isso nossa voto problema que povo na laugh maioria nao tem nao historia do brasil'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'kkkkk aqui so tem ze mane que ta na guerra fria ate hoje'"	aqui so tem ze que ta na guerra fria ate	"no	"no	"no	"no	"no	"no	"no	"no	"no
'apos quatro horas nao conseguiram encontrar um exemplo sequer de ditadura em paises desenvolvidos porque sera'"	horas nao um exemplo de ditadura em paises porque	"no	"no	"no	"no	"no	"no	"no	"no	"no
'realmente  mais brasil  tem que muda essa situacao  se nao   nunca saira desse  mar de lama  '"	mais brasil tem que essa situacao se nao nunca desse de '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'o brasil tambem uma das maiores economias do mundo nem por isto desenvolvido'"	'o brasil tambem uma das maiores do mundo nem por isto	"no	"no	"no	"no	"no	"no	"no	"no	"no
'mauro demente kkkkkkka guerra fria ja acabou faz tempo'"	'mauro guerra fria ja acabou faz	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'o teucuquente porem continua dando adoidado'"	'o continua dando	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'o que esta oposicao esta conseguindo atrair para si para os proximos odio dos eleitores '"	'o que esta oposicao esta para para os dos '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'em  acabara forro privilegiado dai quero ver ministro do stf livrar cara deste povo'"	'em forro privilegiado quero ver ministro do stf cara deste povo'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'e direita quer monopolio do cinismo fingindo que sao probos quando sao tao ou mais ladroes'"	'e direita quer do que sao quando sao tao ou mais	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'estamos pertinhos de um milhao de participantes acorda brasil'"	'estamos de um de acorda brasil'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'rodrigo nao bagunce as ideias uma coisa uma coisa outra coisa outra coisa '"	'rodrigo nao as uma coisa uma coisa outra coisa outra coisa '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'essa corrupta terrorista apresenta uma ameaca ao honesto povo uruguaio'"	'essa uma ao honesto povo	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'a barata cascuda viajou de primeira classe com nosso dinheiro '"	'a de primeira classe com nosso dinheiro '	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'pelo menos esquerda uruguaia nao roubou mojica ainda ta de fusca'"	menos esquerda nao ainda ta de	"no	"no	"no	"no	"no	"no	"no	"no	"no
'essa anta incompetenta  ainda esta solta'"	'essa anta ainda esta	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'ta solta nos ja invadimos fortaleza daqui pouco _laugh_ novelina sai fora do ar'"	'ta nos ja daqui pouco laugh sai fora do	"no	"no	"no	"no	"no	"no	"no	"no	"no
'marcos voce nasceu assim ou bateu cabeca quando era crianca '"	'marcos voce assim ou quando era '	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'fafa daqueles  alunos que eram zuados na escola por isso paga de revoltadinho na internet '"	que na escola por isso paga de na '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'sou obrigado sei sim so nao quero nao sou perfeito esqueco as vezes rs '"	sei sim so nao quero nao sou as vezes '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'deve ser ela nao iria desrespeitar fidel fumando um charuto no uruguai'"	'deve ser ela nao iria um charuto no	"no	"no	"no	"no	"no	"no	"no	"no	"no
'ela ganhou um oreo do  tabare num milenar ritual esquerdista esta oferecendo ao vento '"	'ela ganhou um do tabare num esta ao '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'um es cro to desses verme mesmo'"	'um es to desses mesmo'	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'essa velha deve ter grana la pedecana ganhou casa la de um empresario do rgs'"	'essa velha deve ter grana la ganhou casa la de um empresario do	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'foi recebida com  muito  capim agua  fresca   '"	'foi recebida com muito agua '	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'aproveita deixa essa capivara por ai'"	deixa essa capivara por ai'	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'os larapios estao se reagrupando tem que prender logo os chefes nao sei porque demora'"	'os estao se tem que prender logo os nao sei porque	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'porque que essa vagazbunda filzha da puzta nao vai dazr czu pro capzeta'"	'porque que essa da nao vai pro	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'espero que essa infeliz fique por la so volte quando for convocada pela receita federal'"	que essa fique por la so volte quando for pela	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'fica ai janete traste inutil destruiu brasil vaca'"	ai inutil destruiu brasil vaca'	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'para nao levantar suspeita foi pedir exilio para dono do triplex '"	'para nao foi pedir para do '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'reuniao de comunistas corruptos'"	de comunistas corruptos'	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'cruz credo dessa bosta'"	dessa bosta'	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'porque nao morre desgraca'"	'porque nao	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'ta fazendo cama para para moluscovai que'"	'ta fazendo para para	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'olha ai sergio moro ela dando vacilo kkk pega ela pow'"	'olha ai sergio moro ela dando kkk pega ela	"no	"no	"no	"no	"no	"no	"no	"no	"no
'sera que ela discursou por la dizem que ela fala espanhol sem sotaque'"	'sera que ela por la que ela fala sem	"no	"no	"no	"no	"no	"no	"no	"no	"no
'esse tabare tipico bolivariano light se que isso existe'"	'esse tabare se que isso	"no	"no	"no	"no	"no	"no	"no	"no	"no
'foi dar uma olhadinha na conta dela aproveitando vai ficar na casa do  dedos em punta'"	'foi dar uma na conta dela vai ficar na casa do dedos em	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'ja fez programa hoje '"	'ja fez hoje '	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'vc tem algum retardo ou burrice mesmo maria'"	'vc tem algum ou mesmo	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'quanta gente raivosa que horror'"	gente que	"no	"no	"no	"no	"no	"no	"no	"no	"no
'agora eu vi capacidade do ser humano de ser troxa'"	'agora eu vi do ser de ser	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'ela autoridade maxima do judiciario nao ministra da saude vao se informar seus zes ruelas'"	'ela do judiciario nao ministra da saude vao se seus	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'nao tiro um real do orcamento geral pra destinar presidio com tanta falta em hospital '"	'nao um real do orcamento geral pra com tanta falta em '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'mortadelas nunca entendem nadakkk'"	nunca entendem	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'quem negativa sao os presidiarios lucasestao equipados dentro dos presidios'"	'quem sao os dentro dos	"no	"no	"no	"no	"no	"no	"no	"no	"no
'bandido tem mais que peidar pra muzenga mesmo resolvam esse problema de superlotacao fazendo pelo menos  carandiru por dia simples '"	tem mais que pra mesmo esse problema de fazendo pelo menos por dia simples '	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'bandido defendendo bandido estranho esse papo'"	defendendo bandido estranho esse	"no	"no	"no	"no	"no	"no	"no	"no	"no
'o roberto adora palavra acefalo de tanto ouvir ele incorporou ao vocabulario pobre inculto'"	'o de tanto ouvir ele ao pobre	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'se ela concluiu ato porque ele concordouai nao estupro kkkkkkkkkkkkkkkk'"	'se ela porque ele nao	"no	"no	"no	"no	"no	"no	"no	"no	"no
'esta visitando as novas instalacoes do conde dracula seus vampiros'"	'esta as novas do seus	"no	"no	"no	"no	"no	"no	"no	"no	"no
'por que excelentissima ministra nao visita familia das vitimas  '"	'por que ministra nao visita familia das vitimas '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'vamos ver quantas maes que tiveram seus filhos assassinados por estes assaltantes ministra vai visitar'"	'vamos ver que seus por estes ministra vai	"no	"no	"no	"no	"no	"no	"no	"no	"no
'os poderes estao  preocupados com bandidos  que tem de tudo que cidadao onesto renegado'"	'os poderes estao com bandidos que tem de tudo que	"no	"no	"no	"no	"no	"no	"no	"no	"no
'inversao de valores ao inves dessa velha visitar hospitais asilos orfanatos visita presidios vai tomar no '"	de ao inves dessa velha visitar hospitais visita presidios vai tomar no '	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'e quando vai visitar os hospitais tumulos das vitimas desses marginais'"	'e quando vai visitar os hospitais das vitimas desses	"no	"no	"no	"no	"no	"no	"no	"no	"no
'duvido que essa ministra peca reducao de seu salario para tres mil reais'"	que essa ministra reducao de seu salario para tres mil	"no	"no	"no	"no	"no	"no	"no	"no	"no
'fazer que por culpa _laugh_ se tivesse leis severas estavam vazios'"	que por culpa laugh se tivesse leis estavam	"no	"no	"no	"no	"no	"no	"no	"no	"no
'deveria ser aplicada etica de aristoteles no sistema prisional  justa medida'"	'deveria ser de no sistema	"no	"no	"no	"no	"no	"no	"no	"no	"no
'os presidios lotados milhoes querendo entrar neles isso um paradoxo '"	'os presidios milhoes querendo entrar isso um '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'essa mulher faz cada coisa'"	'essa mulher faz cada	"no	"no	"no	"no	"no	"no	"no	"no	"no
'o gilmar mendespsdb vai ficar com ciumesela esta querendo aparecer mais que ele'"	'o vai ficar com esta querendo aparecer mais que	"no	"no	"no	"no	"no	"no	"no	"no	"no
'excelente iniciativa da ministra presidente carmen lucia parabens'"	iniciativa da ministra presidente carmen lucia	"no	"no	"no	"no	"no	"no	"no	"no	"no
'para vai saulo mim esses presos que estao la sao os mais perigosos do brasil'"	'para vai mim esses que estao la sao os mais do brasil'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'vai que neymar faz um gol contra para agradar messy'"	'vai que neymar faz um gol contra para	"no	"no	"no	"no	"no	"no	"no	"no	"no
'rlx  neymar ja ta bem treinado pelo barca  so chegar vesti uniiforme '"	neymar ja ta bem pelo so chegar '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'vamos massa atleticana lotar mineirao para apoiar argentina de lucas pratto'"	'vamos massa para apoiar de	"no	"no	"no	"no	"no	"no	"no	"no	"no
'o pratto ai lado de messi  vai deitar rolar em cima da nossa selecao falida'"	'o ai lado de messi vai em cima da nossa selecao	"no	"no	"no	"no	"no	"no	"no	"no	"no
'globo iniciando lobby para seu retorno para selecao'"	para seu para selecao'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'joga muito'"	muito'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'essa modinha de rivalidade os  sao excelentes jogadores pronto'"	'essa de os sao jogadores	"no	"no	"no	"no	"no	"no	"no	"no	"no
'so te corrigindo que seria europa sem estrangeiros'"	'so te que seria europa sem	"no	"no	"no	"no	"no	"no	"no	"no	"no
'os  do rio os  de sao paulo  do rio grande do sul  de minas gerais   grandes '"	'os do rio os de sao paulo do rio grande do de grandes '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'falta muito pra chegar ao maior artilheiro de todos grande genio da area romario'"	muito pra chegar ao maior de todos grande da	"no	"no	"no	"no	"no	"no	"no	"no	"no
'o cara foi foda'"	'o cara foi	"no	"no	"no	"no	"no	"no	"no	"no	"no
'so oculos dele deve da pra comprar um apartamento '"	'so dele deve da pra comprar um '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'enquanto isso seu time contrata marcelo cirino por  anos damiao por  ano meio'"	'enquanto isso seu time cirino por anos damiao por ano	"no	"no	"no	"no	"no	"no	"no	"no	"no
'se nao ta jogando nada hoje imagina em   vai ta no nivel do alecgol  '"	'se nao ta jogando nada hoje imagina em vai ta no nivel do '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'sera que teremos tambem mais cinco anos de propaganda com clear men kkkkk'"	'sera que tambem mais anos de com kkkkk'	"no	"no	"no	"no	"no	"no	"no	"no	"no
' temporadas pelo rala  titulos _laugh_ messi em  anos de barca tem  titulos'"	' pelo titulos laugh messi em anos de tem	"no	"no	"no	"no	"no	"no	"no	"no	"no
'mano na boa valdeny as coisas nao funcionam que nem no seu mundinho nao'"	'mano na boa as coisas nao que nem no seu nao'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'mano na boa quase que ele faz um hattrick solange so faltou  penaltis'"	'mano na boa quase que ele faz um so	"no	"no	"no	"no	"no	"no	"no	"no	"no
'entao vamos somar as assistencias para ver quem ganhaos dois sao otimos mas messi melhor'"	'entao vamos as para ver quem dois sao mas messi melhor'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'no momento nao esta nem entre os  melhores  mas joga facil'"	'no nao esta nem entre os melhores mas joga	"no	"no	"no	"no	"no	"no	"no	"no	"no
'bom jogador mais nunca jogara oq marcelinho carioca jogou no todo poderoso timao chorem antis'"	jogador mais nunca carioca jogou no todo	"no	"no	"no	"no	"no	"no	"no	"no	"no
'bianca essas ronaldetes me dao nojo raca nojenta'"	essas me dao raca	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'vai lavar louca dona'"	'vai lavar louca	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'maria vista aquele biquini que hoje vou lhe usar princesa'"	'maria vista aquele que hoje vou lhe usar	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'pare com esse vexame gente deixa este cara de lado'"	com esse gente deixa este cara de	"no	"no	"no	"no	"no	"no	"no	"no	"no
'ui nooooooofa que lindo fofa nosso galao mara ne amiga  rajkazblanks '"	que lindo nosso ne rajkazblanks '	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'em pontos corridos nao tem disputa de penalty rajkazblanks '"	'em pontos corridos nao tem de rajkazblanks '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'em pontos corridos nao tem riascos pra errar penalty aos  do segundo tempo rajkazblanks '"	'em pontos corridos nao tem pra aos do segundo tempo rajkazblanks '	"no	"no	"no	"no	"no	"no	"no	"no	"no
'com anelkocando ate hj maria ele nao argentino nao viu todos sabem q as marias se borram pros argentinos'"	'com ate maria ele nao nao viu todos sabem q as se pros	"no	"no	"no	"no	"no	"no	"no	"no	"no
'nao acho nada demais nesse cueva so faz gol de penalty'"	'nao acho nada demais nesse so faz gol de	"no	"no	"no	"no	"no	"no	"no	"no	"no
'vai tomar seu remedio velho gaga _laugh_ sv'"	'vai tomar seu velho laugh sv'	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes	"yes
'complicado colocar cirino gabriel atacante que nao sabe chutar nao faz gol'"	colocar cirino gabriel que nao sabe nao faz	"no	"no	"no	"no	"no	"no	"no	"no	"no
'o santos todo lanca dois  garotos porque flamengo nao faz mesmo'"	'o santos todo dois garotos porque flamengo nao faz mesmo'	"no	"no	"no	"no	"no	"no	"no	"no	"no
'thiago santos eh melhor q gabriel fernandinho cirino juntos pq garoro n joga'"	santos eh melhor q gabriel fernandinho cirino pq	"no	"no	"no	"no	"no	"no	"no	"no	"no
'coloca os moleques no carioca pra pegar experiencia'"	os no carioca pra pegar	"no	"no	"no	"no	"no	"no	"no	"no	"no
'verdade nao sabe mesmo  escala mal substitui pior ainda culpado pela perda do titulo'"	'verdade nao sabe mesmo mal pior ainda pela do	"no	"no	"no	"no	"no	"no	"no	"no	"no
'ze ricardo     ta de brincadeira   culpa desse mane  todo jogo um time diferente  fanfarrao'"	'ze ricardo ta de culpa desse todo jogo um time diferente	"no	"no	"no	"no	"no	"no	"no	"no	"no
'  que gasto no cuellar erradamente dava pra ter comprado cueva'"	' que gasto no pra ter	"no	"no	"no	"no	"no	"no	"no	"no	"no
'concordo pois ele bom para montar time'"	'concordo pois ele bom para montar	"no	"no	"no	"no	"no	"no	"no	"no	"no
